Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns);;;;
0,127.53643171431031,30.7921871516389,5.2604988641886,-0.3398345949354833,0.023900000000000032,0.03420000000000001,0.0136,5560.888888888889,0.00026731042366712145,0.00026731042366712145,0.00026731042366712145,0_1:0.011566059105350579,0_1:248.88888888888889;;;;
1,76.94346861054066,78.37487932431395,5.170448638005602,-0.3405834792685346,0.032299999999999995,0.04820000000000002,0.0164,5560.888888888889,0.0012844124301253515,0.0012844124301253515,0.0012844124301253515,1_3:0.0159307723827333; 1_2:0.04097675882476698; 1_0:0.011566059105350579,1_3:270.22222222222223; 1_2:426.66666666666663; 1_0:284.44444444444446
2,68.34168950168424,78.6083598278154,5.274317267906079,-0.3389036888077824,0.05509999999999993,0.0756,0.0346,5560.888888888889,0.002697438989639792,0.002697438989639792,0.002697438989639792,2_1:0.04097675882476698,2_1:391.1111111111111;;;;
3,56.39676908634985,16.31145075198563,5.026682599395206,-0.34253037607049963,0.022699999999999942,0.034,0.011399999999999966,5560.888888888889,0.0004065541978540334,0.0004065541978540334,0.0004065541978540334,3_5:0.018089815424179867; 3_1:0.0159307723827333,3_5:277.3333333333333; 3_1:305.77777777777777;;
4,104.08956960118991,80.71209859344098,5.177182349003067,-0.34059039974918304,0.025599999999999956,0.04079999999999995,0.0104,5560.888888888889,0.0002493782565190267,0.0002493782565190267,0.0002493782565190267,4_5:0.0060147256424481765,4_5:312.88888888888886;;;;
5,83.87023610908507,18.994228740915553,5.2927309359481995,-0.34053232043511467,0.027900000000000036,0.032,0.023800000000000043,5560.888888888889,0.00030994435339290976,0.00030994435339290976,0.00030994435339290976,5_6:0.00825242405399959; 5_4:0.0060147256424481765; 5_3:0.018089815424179867,5_6:341.3333333333333; 5_4:277.3333333333333; 5_3:241.77777777777777
6,126.42904536958753,156.92162584945686,5.1286852954877675,-0.3404356760163406,0.022499999999999964,0.03420000000000001,0.0108,5560.888888888889,0.0002421373853835572,0.0002421373853835572,0.0002421373853835572,6_5:0.00825242405399959,6_5:305.77777777777777;;;;
